potID,replicate,treatment,no_poll,dl,whc,mwd,wsa_b,wdpt,log_cop_gS
163,b,Salinity,1,1,90,0.7172593284,0.4117647059,2,23.5934366962898
164,c,µPlastic,1,7,60,1.116140288,0.53125,2,23.5618648956628
165,c,Nitrogen,1,5,70,1.109286765,0.42424242419999997,1e-16,23.3413906704091
166,a,Copper,1,14,25,0.485681338,0.4838709677,6,23.8628591207607
167,b,Surfactant,1,5,70,1.224630357,0.5483870968,1e-16,23.480440936574
168,c,µPlastic,1,4,75,1.064510676,0.5862068965999999,1,23.2046654101261
169,b,All_in,5,8,55,0.9478701754,0.6451612903,2,23.7206089942031
170,a,Surfactant,1,12,35,0.6693137931,0.53125,4,23.6904653379166
171,b,Nitrogen,1,15,20,0.6348270548,0.4848484848,5,23.9049276488685
172,b,µPlastic,1,2,85,0.7063631387,0.6,1e-16,23.1576064293984
173,c,Surfactant,1,6,65,1.072129964,0.3939393939,1e-16,23.4492833979797
174,a,µPlastic,1,3,80,0.891682971,0.5806451613,1e-16,23.1845365852598
175,b,All_in,5,6,65,1.170503497,0.59375,1e-16,23.6705644045487
176,c,Nitrogen,1,11,40,0.6453706897,0.46875,2,23.4636482442454
177,b,All_in,5,1,90,0.7168291367,0.40625,2,23.2764363761828
178,a,Ctrl,0,3,80,0.4902142857,0.34375,1e-16,23.3683209313612
179,b,Ctrl,0,6,65,0.7392076271,0.3666666667,1e-16,23.607715424133
180,a,Salinity,1,8,55,0.9861571429,0.5161290323,1e-16,23.6114109828057
181,b,Copper,1,14,25,0.6397825342,0.375,5,23.7172552141895
182,a,µPlastic,1,15,20,0.5646729452,0.42424242419999997,4,23.7074623716916
183,c,Ctrl,0,6,65,0.6980263158,0.34375,1e-16,23.5158881790275
184,a,Nitrogen,1,8,55,0.88195,0.59375,1e-16,23.460782635097
185,c,Nitrogen,1,9,50,0.8962522936,0.6129032258,1,23.2155818724626
186,a,All_in,5,8,55,0.9120283688,0.5666666667,2,23.4241102164287
187,c,Nitrogen,1,8,55,1.223740143,0.5483870968,1,NA
188,c,All_in,5,12,35,0.6744724138,0.3939393939,4,23.6069864527777
189,c,Ctrl,0,15,20,0.5947463235,0.6,5,23.7596521802334
190,b,Surfactant,1,10,45,0.744625,0.4545454545,2,23.6579928305966
191,a,µPlastic,1,9,50,0.8148506944,0.4838709677,1,23.5176582297683
192,c,Salinity,1,8,55,1.004695122,0.5483870968,2,23.4626483726095
193,b,Nitrogen,1,10,45,0.7031027875,0.4545454545,2,23.5916806462539
194,b,µPlastic,1,13,30,0.5213847458,0.34375,5,23.431877640883
195,c,µPlastic,1,6,65,1.07330036,0.65625,1,23.1191684247633
196,b,All_in,5,4,75,1.027721519,0.4482758621,2,23.5035270276909
197,c,Copper,1,13,30,0.6568229167,0.6666666667,3,23.5944806228684
198,a,Salinity,1,3,80,1.045830935,0.5517241379,1e-16,23.2449303906316
199,b,Ctrl,0,5,70,0.4601666667,0.2424242424,2,23.4638074865201
200,c,Nitrogen,1,12,35,0.5885625,0.45161290319999997,5,23.4280262680377
201,a,All_in,5,10,45,0.6755526316,0.4375,2,23.2211220393375
202,c,All_in,5,14,25,0.4715704698,0.25,4,23.8625246147091
203,c,Nitrogen,1,3,80,1.054066914,0.3055555556,2,23.2829623250865
204,a,All_in,5,11,40,0.6186346863,0.46875,3,23.2589230537428
205,b,Salinity,1,7,60,1.088949821,0.5294117647000001,1e-16,23.3823795506752
206,a,Salinity,1,14,25,0.5679773519,0.6129032258,5,23.5703335521304
207,a,All_in,5,15,20,0.5638681507,0.4838709677,5,23.7515702176165
208,b,All_in,5,7,60,0.7564907407,0.5454545455,3,23.6017680621272
209,a,Copper,1,4,75,1.055998208,0.5806451613,1e-16,23.5390436399177
210,c,µPlastic,1,3,80,0.859360424,0.33333333330000003,1e-16,23.5060535135965
211,c,Copper,1,8,55,0.9038951049,0.4375,2,23.5183907480753
212,a,Ctrl,0,13,30,0.5857153846,0.48275862070000003,3,23.7490798954467
213,c,All_in,5,7,60,1.191771429,0.4838709677,1e-16,23.6095677730862
214,a,Ctrl,0,4,75,0.4235607477,0.375,1e-16,23.536405492122
215,c,Nitrogen,1,10,45,0.7936888112,0.5,3,23.3306205453617
216,b,Salinity,1,8,55,1.168338596,0.5,1e-16,23.5075361089147
217,c,µPlastic,1,12,35,0.6534161074,0.2666666667,4,23.4621868292891
218,b,Copper,1,5,70,1.008527473,0.625,1e-16,23.7427225851246
219,c,Ctrl,0,11,40,0.7086330645,0.5625,3,23.7325858094998
220,a,Nitrogen,1,3,80,1.123628159,0.44117647060000004,1,23.2577726290488
221,b,All_in,5,13,30,0.5266471572,0.3421052632,5,23.8181768908208
222,a,All_in,5,1,90,0.5637921569,0.5714285713999999,2,23.6517630935749
223,b,Salinity,1,15,20,0.7045909091,0.5,5,23.5444325760139
224,a,All_in,5,4,75,1.071034799,0.6,1,23.6063778900842
225,a,Ctrl,0,10,45,0.7030073529,0.3939393939,4,23.6971558058374
226,c,Copper,1,12,35,0.6535532646,0.4838709677,4,23.6627814530286
227,c,µPlastic,1,5,70,0.6930982759,0.6785714286,1e-16,23.6155356718815
228,c,Ctrl,0,1,90,0.4863472222,0.45161290319999997,2,23.3450326954819
229,a,Surfactant,1,14,25,0.5998686869,0.5625,4,23.6026560419798
230,c,Ctrl,0,2,85,0.4469954128,0.45161290319999997,2,23.3169526922556
231,a,Surfactant,1,10,45,0.6479516129,0.5517241379,1,23.7021201032216
232,c,Salinity,1,10,45,0.7242031802,0.4838709677,1,23.5580159900287
233,c,µPlastic,1,10,45,0.6812195122,0.7037037037,3,23.6462517505485
234,c,All_in,5,10,45,0.6685360825,0.4193548387,3,23.8469990485046
